L Ef kx gap_microeV
3.000000000000000000e+02 6.666666666666667494e-06 1.111111111111111110e-03 4.991374837982398560e+00
3.000000000000000000e+02 6.666666666666667494e-06 1.333333333333333506e-03 5.988836104393158166e+00
3.000000000000000000e+02 6.666666666666667494e-06 1.555555555555555684e-03 6.985849987019676632e+00
3.000000000000000000e+02 6.666666666666667494e-06 1.777777777777777863e-03 7.982338970914604204e+00
3.000000000000000000e+02 6.666666666666667494e-06 2.000000000000000042e-03 8.978224184151173404e+00
3.000000000000000000e+02 7.777777777777779167e-06 0.000000000000000000e+00 7.993605777301127091e-12
3.000000000000000000e+02 7.777777777777779167e-06 2.222222222222222329e-04 1.164939721130409112e+00
3.000000000000000000e+02 7.777777777777779167e-06 4.444444444444444657e-04 2.329793772812394081e+00
3.000000000000000000e+02 7.777777777777779167e-06 6.666666666666667528e-04 3.494476257712264555e+00
3.000000000000000000e+02 7.777777777777779167e-06 8.888888888888889315e-04 4.658900822835931876e+00
3.000000000000000000e+02 7.777777777777779167e-06 1.111111111111111110e-03 5.822980432213853419e+00
3.000000000000000000e+02 7.777777777777779167e-06 1.333333333333333506e-03 6.986627140417311921e+00
3.000000000000000000e+02 7.777777777777779167e-06 1.555555555555555684e-03 8.149751866540988487e+00
3.000000000000000000e+02 7.777777777777779167e-06 1.777777777777777863e-03 9.312264169489381516e+00
3.000000000000000000e+02 7.777777777777779167e-06 2.000000000000000042e-03 1.047407202448003005e+01
3.000000000000000000e+02 8.888888888888889992e-06 0.000000000000000000e+00 8.881784197001252323e-12
3.000000000000000000e+02 8.888888888888889992e-06 2.222222222222222329e-04 1.331283209795586231e+00
3.000000000000000000e+02 8.888888888888889992e-06 4.444444444444444657e-04 2.662468504740722608e+00
3.000000000000000000e+02 8.888888888888889992e-06 6.666666666666667528e-04 3.993457709303704917e+00
3.000000000000000000e+02 8.888888888888889992e-06 8.888888888888889315e-04 5.324152127116121846e+00
3.000000000000000000e+02 8.888888888888889992e-06 1.111111111111111110e-03 6.654452280992373403e+00
3.000000000000000000e+02 8.888888888888889992e-06 1.333333333333333506e-03 7.984257653669502020e+00
3.000000000000000000e+02 8.888888888888889992e-06 1.555555555555555684e-03 9.313466430077355085e+00
3.000000000000000000e+02 8.888888888888889992e-06 1.777777777777777863e-03 1.064197523950305424e+01
3.000000000000000000e+02 8.888888888888889992e-06 2.000000000000000042e-03 1.196967890073707963e+01
3.000000000000000000e+02 1.000000000000000082e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+02 1.000000000000000082e-05 2.222222222222222329e-04 1.497596167862269567e+00
3.000000000000000000e+02 1.000000000000000082e-05 4.444444444444444657e-04 2.995082172524199393e+00
3.000000000000000000e+02 1.000000000000000082e-05 6.666666666666667528e-04 4.492347557592424323e+00
3.000000000000000000e+02 1.000000000000000082e-05 8.888888888888889315e-04 5.989281280266212093e+00
3.000000000000000000e+02 1.000000000000000082e-05 1.111111111111111110e-03 7.485771419029951801e+00
3.000000000000000000e+02 1.000000000000000082e-05 1.333333333333333506e-03 8.981704881745322666e+00
3.000000000000000000e+02 1.000000000000000082e-05 1.555555555555555684e-03 1.047696711529422231e+01
3.000000000000000000e+02 1.000000000000000082e-05 1.777777777777777863e-03 1.197144181596154766e+01
3.000000000000000000e+02 1.000000000000000082e-05 2.000000000000000042e-03 1.346501064189098429e+01
