L Ef kx gap_2nd_microeV gap_4th_microeV
4.000000000000000000e+02 3.846153846153845947e-06 1.151515151515151471e-02 3.016280250687499986e+01 2.979915507037109990e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.166666666666666720e-02 3.055968148722894284e+01 3.018158898198970164e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.181818181818181795e-02 3.095656046757985180e+01 3.056364406089483765e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.196969696969697045e-02 3.135343944793726223e+01 3.094531538719259345e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.212121212121212120e-02 3.175031842829294249e+01 3.132659804096996936e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.227272727272727196e-02 3.214719740864384789e+01 3.170748710232566481e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.242424242424242445e-02 3.254407638899779442e+01 3.208797765135059166e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.257575757575757520e-02 3.294095536935347468e+01 3.246806476813997477e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.272727272727272770e-02 3.333783434970784754e+01 3.284774353279080117e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.287878787878787845e-02 3.373471333006136064e+01 3.322700902539613566e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.303030303030303094e-02 3.413159231041574060e+01 3.360585632605425843e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.318181818181818170e-02 3.452847129076837973e+01 3.398428051485606005e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.333333333333333245e-02 3.492535027112536028e+01 3.436227667189548640e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.348484848484848495e-02 3.532222925147799941e+01 3.473983987726906975e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.363636363636363570e-02 3.571910823183064565e+01 3.511696521107205626e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.378787878787878819e-02 3.611598721218589247e+01 3.549364775340055189e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.393939393939393895e-02 3.651286619254026533e+01 3.586988258434415400e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.409090909090909144e-02 3.690974517289464529e+01 3.624566478400200253e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.424242424242424220e-02 3.730662415324641756e+01 3.662098943246847682e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.439393939393939469e-02 3.770350313360253125e+01 3.699585160983620824e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.454545454545454544e-02 3.810038211395343666e+01 3.737024639619782818e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.469696969696969620e-02 3.849726109431041721e+01 3.774416887165769197e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.484848484848484869e-02 3.889414007466436374e+01 3.811761411629801444e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.499999999999999944e-02 3.929101905501570258e+01 3.849057721022359146e+01
4.000000000000000000e+02 7.692307692307691894e-06 0.000000000000000000e+00 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 7.692307692307691894e-06 1.515151515151515150e-04 7.937579606714582070e-01 7.933674738241740521e-01
4.000000000000000000e+02 7.692307692307691894e-06 3.030303030303030300e-04 1.587515921380212802e+00 1.586725107870484042e+00
4.000000000000000000e+02 7.692307692307691894e-06 4.545454545454545451e-04 2.381273882089401273e+00 2.380063062297748555e+00
