L Ef kx gap_2nd_microeV gap_4th_microeV
7.000000000000000000e+02 0.000000000000000000e+00 1.292929292929292972e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 1.333333333333333289e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 1.373737373737373823e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 1.414141414141414140e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 1.454545454545454674e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 1.494949494949494992e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 1.535353535353535309e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 1.575757575757575843e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 1.616161616161616160e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 1.656565656565656694e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 1.696969696969697012e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 1.737373737373737329e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 1.777777777777777863e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 1.818181818181818180e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 1.858585858585858714e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 1.898989898989899032e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 1.939393939393939566e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 1.979797979797979883e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.020202020202020200e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.060606060606060518e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.101010101010101268e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.141414141414141586e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.181818181818181903e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.222222222222222220e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.262626262626262538e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.303030303030303289e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.343434343434343606e-03 9.974659986866640793e-12 9.974659986866640793e-12
