kx  E  alpha(eV.A)  gap_meV
7.200000000000000453e-04 8.399999999999998579e+00 1.053574536724018740e-01 1.517147332868312617e+02
7.200000000000000453e-04 9.000000000000000000e+00 1.026296333505936631e-01 1.477866720250436856e+02
7.200000000000000453e-04 9.599999999999999645e+00 9.986315512889758217e-02 1.438029433862425606e+02
7.200000000000000453e-04 1.019999999999999929e+01 9.716130317270330052e-02 1.399122765671223476e+02
7.200000000000000453e-04 1.079999999999999716e+01 9.459485258012531594e-02 1.362165877129839373e+02
7.200000000000000453e-04 1.140000000000000036e+01 9.221002433124331210e-02 1.327824350341871877e+02
7.200000000000000453e-04 1.199999999999999822e+01 9.003492702134777148e-02 1.296502949141992076e+02
8.000000000000000383e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000383e-04 5.999999999999999778e-01 2.070512511330498823e-02 3.312820018129200861e+01
8.000000000000000383e-04 1.199999999999999956e+00 4.033246325058844478e-02 6.453194120088507191e+01
8.000000000000000383e-04 1.799999999999999822e+00 5.818066908273365756e-02 9.308907053236234219e+01
8.000000000000000383e-04 2.399999999999999911e+00 7.375360799715506566e-02 1.180057727953528968e+02
8.000000000000000383e-04 2.999999999999999556e+00 8.668186526372241574e-02 1.386909844218742194e+02
8.000000000000000383e-04 3.599999999999999645e+00 9.678071716773760380e-02 1.548491474680207318e+02
8.000000000000000383e-04 4.199999999999999289e+00 1.040856182483692882e-01 1.665369891971947709e+02
8.000000000000000383e-04 4.799999999999999822e+00 1.088289742818182720e-01 1.741263588511156399e+02
8.000000000000000383e-04 5.399999999999998579e+00 1.113769295656229924e-01 1.782030873041726124e+02
8.000000000000000383e-04 5.999999999999999112e+00 1.121558336009080004e-01 1.794493337612321113e+02
8.000000000000000383e-04 6.599999999999999645e+00 1.115906985220394276e-01 1.785451176366734103e+02
8.000000000000000383e-04 7.199999999999999289e+00 1.100650631630026854e-01 1.761041010589908922e+02
8.000000000000000383e-04 7.799999999999998934e+00 1.079015294372913103e-01 1.726424470978732302e+02
8.000000000000000383e-04 8.399999999999998579e+00 1.053574536724001254e-01 1.685719258766524149e+02
8.000000000000000383e-04 9.000000000000000000e+00 1.026296333505956060e-01 1.642074133611920388e+02
8.000000000000000383e-04 9.599999999999999645e+00 9.986315512890155122e-02 1.597810482074496576e+02
8.000000000000000383e-04 1.019999999999999929e+01 9.716130317270370298e-02 1.554580850755410495e+02
8.000000000000000383e-04 1.079999999999999716e+01 9.459485258012675923e-02 1.513517641261175015e+02
8.000000000000000383e-04 1.140000000000000036e+01 9.221002433124485254e-02 1.475360389297658514e+02
8.000000000000000383e-04 1.199999999999999822e+01 9.003492702134310854e-02 1.440558832347948908e+02
8.800000000000000313e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.800000000000000313e-04 5.999999999999999778e-01 2.070512511330382943e-02 3.644102019952945426e+01
8.800000000000000313e-04 1.199999999999999956e+00 4.033246325059029053e-02 7.098513532092587752e+01
8.800000000000000313e-04 1.799999999999999822e+00 5.818066908273181181e-02 1.023979775855994347e+02
8.800000000000000313e-04 2.399999999999999911e+00 7.375360799715789673e-02 1.298063500750471917e+02
8.800000000000000313e-04 2.999999999999999556e+00 8.668186526372105571e-02 1.525600828639461213e+02
8.800000000000000313e-04 3.599999999999999645e+00 9.678071716774243327e-02 1.703340622151335140e+02
8.800000000000000313e-04 4.199999999999999289e+00 1.040856182483723552e-01 1.831906881172608337e+02
8.800000000000000313e-04 4.799999999999999822e+00 1.088289742818184525e-01 1.915389947353268667e+02
8.800000000000000313e-04 5.399999999999998579e+00 1.113769295656225206e-01 1.960233960351318103e+02
8.800000000000000313e-04 5.999999999999999112e+00 1.121558336009110118e-01 1.973942671375586428e+02
8.800000000000000313e-04 6.599999999999999645e+00 1.115906985220307679e-01 1.963996293991854145e+02
8.800000000000000313e-04 7.199999999999999289e+00 1.100650631630073761e-01 1.937145111671409552e+02
8.800000000000000313e-04 7.799999999999998934e+00 1.079015294372925038e-01 1.899066918090858280e+02
8.800000000000000313e-04 8.399999999999998579e+00 1.053574536723992788e-01 1.854291184620118713e+02
8.800000000000000313e-04 9.000000000000000000e+00 1.026296333505939268e-01 1.806281546950366703e+02
8.800000000000000313e-04 9.599999999999999645e+00 9.986315512889722135e-02 1.757591530247848368e+02
8.800000000000000313e-04 1.019999999999999929e+01 9.716130317270020578e-02 1.710038935806845757e+02
8.800000000000000313e-04 1.079999999999999716e+01 9.459485258012544084e-02 1.664869405403612745e+02
8.800000000000000313e-04 1.140000000000000036e+01 9.221002433124440845e-02 1.622896428191828022e+02
8.800000000000000313e-04 1.199999999999999822e+01 9.003492702134528736e-02 1.584614715566395944e+02
9.600000000000001327e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
