kx  E  alpha(eV.A)  gap_meV_2nd
8.800000000000000313e-04 5.000000000000000000e-01 2.861452909293237066e-03 5.036157120355284178e+00
8.800000000000000313e-04 1.000000000000000000e+00 4.437916620881969185e-03 7.810733252752157796e+00
8.800000000000000313e-04 1.500000000000000222e+00 5.550767174143084355e-03 9.769350226491654965e+00
8.800000000000000313e-04 2.000000000000000000e+00 6.401006786663021066e-03 1.126577194452728392e+01
8.800000000000000313e-04 2.500000000000000000e+00 7.078797483232548982e-03 1.245868357049005581e+01
8.800000000000000313e-04 3.000000000000000444e+00 7.633942743595215248e-03 1.343573922872598558e+01
8.800000000000000313e-04 3.500000000000000000e+00 8.097259323945726894e-03 1.425117641014675485e+01
8.800000000000000313e-04 4.000000000000000000e+00 8.489280330646524139e-03 1.494113338193145424e+01
8.800000000000000313e-04 4.500000000000000000e+00 8.824426186484518597e-03 1.553099008820557714e+01
8.800000000000000313e-04 5.000000000000000000e+00 9.113233010651915211e-03 1.603929009873911227e+01
8.800000000000000313e-04 5.500000000000000000e+00 9.363640642141683040e-03 1.648000753017020514e+01
8.800000000000000313e-04 6.000000000000000888e+00 9.581783186837396216e-03 1.686393840882871586e+01
8.800000000000000313e-04 6.500000000000000888e+00 9.772497819299248017e-03 1.719959616196253904e+01
8.800000000000000313e-04 7.000000000000000000e+00 9.939665131134074391e-03 1.749381063080590692e+01
8.800000000000000313e-04 7.500000000000000000e+00 1.008644420594070196e-02 1.775214180245454543e+01
8.800000000000000313e-04 8.000000000000000000e+00 1.021543943353789459e-02 1.797917340301546929e+01
8.800000000000000313e-04 8.500000000000000000e+00 1.032882165844193137e-02 1.817872611883930745e+01
8.800000000000000313e-04 9.000000000000000000e+00 1.042841794751946799e-02 1.835401558764049312e+01
8.800000000000000313e-04 9.500000000000000000e+00 1.051577928448989806e-02 1.850777154069338337e+01
8.800000000000000313e-04 1.000000000000000000e+01 1.059223241731218831e-02 1.864232905446350230e+01
9.600000000000001327e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.600000000000001327e-04 5.000000000000000000e-01 2.861452909293181988e-03 5.493989585842601109e+00
9.600000000000001327e-04 1.000000000000000000e+00 4.437916620879673278e-03 8.520799912089156436e+00
9.600000000000001327e-04 1.500000000000000222e+00 5.550767174143302063e-03 1.065747297435398089e+01
9.600000000000001327e-04 2.000000000000000000e+00 6.401006786663171987e-03 1.228993303039466234e+01
9.600000000000001327e-04 2.500000000000000000e+00 7.078797483231700702e-03 1.359129116780717617e+01
9.600000000000001327e-04 3.000000000000000444e+00 7.633942743595638521e-03 1.465717006770422870e+01
9.600000000000001327e-04 3.500000000000000000e+00 8.097259323945777201e-03 1.554673790197039196e+01
9.600000000000001327e-04 4.000000000000000000e+00 8.489280330646567507e-03 1.629941823484346131e+01
9.600000000000001327e-04 4.500000000000000000e+00 8.824426186484548087e-03 1.694289827803424586e+01
9.600000000000001327e-04 5.000000000000000000e+00 9.113233010651766025e-03 1.749740738045402111e+01
9.600000000000001327e-04 5.500000000000000000e+00 9.363640642141764572e-03 1.797819003290790363e+01
9.600000000000001327e-04 6.000000000000000888e+00 9.581783186837599178e-03 1.839702371872476050e+01
9.600000000000001327e-04 6.500000000000000888e+00 9.772497819299348631e-03 1.876319581305130413e+01
9.600000000000001327e-04 7.000000000000000000e+00 9.939665131134157658e-03 1.908415705174915189e+01
9.600000000000001327e-04 7.500000000000000000e+00 1.008644420594073318e-02 1.936597287544028489e+01
9.600000000000001327e-04 8.000000000000000000e+00 1.021543943353799694e-02 1.961364371240448179e+01
9.600000000000001327e-04 8.500000000000000000e+00 1.032882165844171973e-02 1.983133758420851933e+01
9.600000000000001327e-04 9.000000000000000000e+00 1.042841794751953564e-02 2.002256245924039035e+01
9.600000000000001327e-04 9.500000000000000000e+00 1.051577928448993102e-02 2.019029622619961017e+01
9.600000000000001327e-04 1.000000000000000000e+01 1.059223241731211372e-02 2.033708624121777220e+01
1.040000000000000126e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.040000000000000126e-03 5.000000000000000000e-01 2.861452909293272194e-03 5.951822051330352359e+00
1.040000000000000126e-03 1.000000000000000000e+00 4.437916620881636985e-03 9.230866571433580248e+00
1.040000000000000126e-03 1.500000000000000222e+00 5.550767174143124254e-03 1.154559572221717367e+01
1.040000000000000126e-03 2.000000000000000000e+00 6.401006786663303826e-03 1.331409411626204076e+01
1.040000000000000126e-03 2.500000000000000000e+00 7.078797483232575870e-03 1.472389876512429652e+01
1.040000000000000126e-03 3.000000000000000444e+00 7.633942743595229126e-03 1.587860090667206414e+01
1.040000000000000126e-03 3.500000000000000000e+00 8.097259323945749446e-03 1.684229939380096752e+01
