# Energy    MatrixElement
-4.5015444946e-01 3.7133715007e-30
-4.4982581817e-01 9.8030184897e-10
-4.4962334340e-01 7.5309562397e-06
-4.4850291316e-01 7.7927091590e-30
-4.4797104799e-01 4.3044453972e-08
-4.4792474046e-01 1.3992402169e-29
-4.4776521126e-01 2.9199484416e-06
-4.4722931834e-01 1.6458503161e-27
-4.4719011393e-01 6.2313695129e-04
-4.4705004715e-01 1.6129538369e-28
-4.4495230067e-01 8.5054191874e-26
-4.4491713776e-01 7.1879128194e-03
-4.4471204917e-01 3.4625349575e-27
-4.4456030518e-01 8.1513093431e-04
-4.4348181379e-01 1.8784131171e-05
-4.4345616789e-01 6.6951260448e-28
-4.4252275710e-01 6.1232101775e-29
-4.4234901746e-01 5.0280214040e-29
-4.4152311846e-01 1.5654362087e-05
-4.4148495448e-01 9.5236365549e-09
-4.4116724602e-01 1.2597818020e-28
-4.4092913050e-01 1.6702056171e-04
-4.4035891376e-01 1.7742051273e-05
-4.3965122677e-01 2.8304668524e-29
-4.3949042383e-01 2.8987651044e-05
-4.3929716013e-01 1.0260830247e-28
-4.3875983805e-01 2.3793054034e-05
-4.3864354481e-01 1.1900205531e-28
-4.3831341178e-01 2.9864832444e-05
-4.3713673551e-01 3.7490894108e-05
-4.3692711044e-01 9.9435301506e-05
-4.3580109888e-01 4.0767424062e-30
-4.3552127351e-01 1.7535697010e-29
-4.3466806988e-01 8.7981659225e-05
-4.3280776074e-01 2.7444883067e-05
-4.3262102405e-01 2.9486351786e-05
-4.3261614611e-01 1.1140974846e-25
-4.3241514494e-01 4.2325704675e-29
-4.3138248168e-01 1.2695648367e-05
-4.3052716783e-01 1.4246473801e-29
-4.2954233880e-01 2.0171447451e-29
-4.2898706903e-01 3.7207883836e-05
-4.2859530473e-01 1.6171602781e-29
-4.2807412198e-01 2.6738382563e-07
-4.2730030554e-01 1.5309032393e-30
-4.2695679547e-01 6.9343476178e-08
-4.2661106401e-01 2.3115082777e-29
-4.2655823696e-01 4.0749719616e-07
-4.2498055734e-01 2.4989564598e-06
-4.2450374790e-01 3.4017105905e-07
-4.2411696374e-01 1.0507802408e-29
-4.2317355541e-01 2.8700182688e-30
-4.2235120303e-01 2.0144648135e-07
-4.2158000406e-01 5.1402354847e-06
-4.2118080961e-01 6.4353290061e-06
-4.2098783877e-01 1.7810893624e-29
-4.2056568906e-01 5.7065681526e-07
-4.2037661746e-01 7.2113373130e-07
-4.1985212976e-01 2.2363537538e-07
-4.1928280821e-01 9.3972679245e-29
-4.1915125436e-01 2.5678207997e-06
-4.1783115626e-01 6.4258307157e-27
-4.1781223689e-01 2.5376198986e-05
-4.1756277423e-01 2.9243403136e-29
-4.1743064807e-01 1.1721473737e-05
-4.1577930551e-01 7.5119396119e-08
-4.1561776568e-01 7.3966798948e-30
-4.1514021520e-01 9.4231878540e-30
-4.1458592452e-01 1.1663007438e-29
-4.1347316085e-01 8.7362381193e-30
-4.1300113308e-01 4.3172696802e-30
-4.1257617359e-01 1.2556542009e-06
-4.1097272892e-01 2.5668129830e-09
-4.1041328205e-01 1.9179019890e-29
-4.0900324869e-01 3.4103810045e-06
-4.0889783795e-01 1.4712921539e-05
-4.0877635907e-01 9.9232503239e-29
-4.0863683201e-01 8.0727678732e-29
-4.0831445067e-01 3.5860558523e-06
-4.0765463316e-01 1.0884499430e-29
-4.0758845581e-01 5.8969759367e-07
-4.0702803432e-01 2.0304057297e-29
-4.0649194855e-01 1.5995622198e-28
-4.0597481897e-01 3.2277004732e-29
-4.0575629204e-01 2.5414155576e-05
-4.0570859939e-01 1.3477134605e-27
-4.0529296347e-01 1.6140342399e-27
-4.0515900399e-01 2.1331864437e-06
-4.0463810339e-01 2.6595399909e-28
-4.0341420495e-01 8.5078717751e-06
-4.0287356705e-01 9.3063039339e-29
-4.0248798580e-01 4.0185503136e-29
-4.0177563325e-01 6.1569770522e-29
-4.0058664413e-01 2.6357179914e-08
-3.9998205686e-01 5.8834556204e-31
-3.9908667766e-01 3.5407557909e-07
-3.9867515288e-01 1.1379141036e-09
-3.9714241952e-01 2.7487628238e-28
-3.9713394863e-01 3.1341378173e-06
